Any,Provincia,Comarca,CDMUN,Municipi,Codi_Sector,Descripcio_Sector,Consum [kWh],Observacions
2013,BARCELONA,GARRAF,08043,CANYELLES,1,PRIMARI,78981,
2013,BARCELONA,GARRAF,08043,CANYELLES,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,GARRAF,08043,CANYELLES,4,CONSTRUCCIO I OBRES PUBLIQUES,227503,
2013,BARCELONA,GARRAF,08043,CANYELLES,6,TERCIARI,2828688,
2013,BARCELONA,GARRAF,08043,CANYELLES,7,USOS DOMESTICS,7503097,
2013,BARCELONA,ANOIA,08044,CAPELLADES,1,PRIMARI,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08044,CAPELLADES,3,INDUSTRIAL,44636655,Inclou el consum del sector energètic.
2013,BARCELONA,ANOIA,08044,CAPELLADES,4,CONSTRUCCIO I OBRES PUBLIQUES,37100,
2013,BARCELONA,ANOIA,08044,CAPELLADES,6,TERCIARI,4972133,
2013,BARCELONA,ANOIA,08044,CAPELLADES,7,USOS DOMESTICS,7093692,
2013,BARCELONA,BERGUEDA,08045,CAPOLAT,4,CONSTRUCCIO I OBRES PUBLIQUES,,Dada subjecta a secret estadístic.
2013,BARCELONA,BERGUEDA,08045,CAPOLAT,6,TERCIARI,73827,
2013,BARCELONA,BERGUEDA,08045,CAPOLAT,7,USOS DOMESTICS,145538,
2013,BARCELONA,VALLES ORIENTAL,08046,CARDEDEU,1,PRIMARI,104948,
2013,BARCELONA,VALLES ORIENTAL,08046,CARDEDEU,3,INDUSTRIAL,13362296,
2013,BARCELONA,VALLES ORIENTAL,08046,CARDEDEU,4,CONSTRUCCIO I OBRES PUBLIQUES,315525,
2013,BARCELONA,VALLES ORIENTAL,08046,CARDEDEU,6,TERCIARI,25770092,
2013,BARCELONA,VALLES ORIENTAL,08046,CARDEDEU,7,USOS DOMESTICS,26690196,
2013,BARCELONA,BAGES,08047,CARDONA,1,PRIMARI,143804,
2013,BARCELONA,BAGES,08047,CARDONA,3,INDUSTRIAL,16230314,
2013,BARCELONA,BAGES,08047,CARDONA,4,CONSTRUCCIO I OBRES PUBLIQUES,248026,
2013,BARCELONA,BAGES,08047,CARDONA,6,TERCIARI,6892941,
2013,BARCELONA,BAGES,08047,CARDONA,7,USOS DOMESTICS,7600153,
2013,BARCELONA,ANOIA,08048,CARME,1,PRIMARI,2078,
2013,BARCELONA,ANOIA,08048,CARME,3,INDUSTRIAL,,Dada subjecta a secret estadístic.
2013,BARCELONA,ANOIA,08048,CARME,4,CONSTRUCCIO I OBRES PUBLIQUES,29511,
2013,BARCELONA,ANOIA,08048,CARME,6,TERCIARI,3015642,
